title,description,required_skills,registration_status,start_date,end_date,location,mode,prize,organizer,tags,url,source
ZerveHack,,['Machine Learning/Ai'],open,,2026-04-29,Online,online,"$<span data-currency-value>10,000</span>",Zerve AI,['Machine Learning/Ai'],https://zervehack.devpost.com/,devpost
Agents Assemble - The Healthcare AI Endgame,,"['Beginner Friendly', 'Health', 'Machine Learning/Ai']",open,,2026-05-11,Online,online,"$<span data-currency-value>25,000</span>",Prompt Opinion (Darena Health),"['Beginner Friendly', 'Health', 'Machine Learning/Ai']",https://agents-assemble.devpost.com/,devpost
FIND EVIL!,,"['Beginner Friendly', 'Cybersecurity', 'Machine Learning/Ai']",open,,2026-06-15,Online,online,"$<span data-currency-value>22,000</span>",sans,"['Beginner Friendly', 'Cybersecurity', 'Machine Learning/Ai']",https://findevil.devpost.com/,devpost
Build with MeDo Hackathon ,,"['Beginner Friendly', 'Low/No Code', 'Machine Learning/Ai']",open,,2026-05-20,Online,online,"$<span data-currency-value>50,000</span>",Baidu,"['Beginner Friendly', 'Low/No Code', 'Machine Learning/Ai']",https://medo.devpost.com/,devpost
Learning Hackathon: Spec Driven Development,,"['Beginner Friendly', 'Machine Learning/Ai', 'Open Ended', 'Programming']",open,,2026-04-29,Online,online,$<span data-currency-value>0</span>,"Devpost, Inc.","['Beginner Friendly', 'Machine Learning/Ai', 'Open Ended', 'Programming']",https://learn-ai.devpost.com/,devpost
GNEC Hackathon 2026 Spring - Compete For UN-Affiliated/NGO Internships & Prizes,,"['Beginner Friendly', 'Health', 'Social Good']",open,,2026-05-03,Online,online,$<span data-currency-value>700</span>,Global NGO Executive Committee,"['Beginner Friendly', 'Health', 'Social Good']",https://gnec-hackathon-2026-spring.devpost.com/,devpost
HackAmerica,,"['Beginner Friendly', 'Design', 'Social Good']",open,,2026-05-23,Online,online,$<span data-currency-value>575</span>,HackAmerica,"['Beginner Friendly', 'Design', 'Social Good']",https://hackamerica.devpost.com/,devpost
DSH Hacks V1,,"['Beginner Friendly', 'Machine Learning/Ai', 'Social Good']",open,,2026-06-02,Online,online,"$<span data-currency-value>5,096</span>",DreamWeave,"['Beginner Friendly', 'Machine Learning/Ai', 'Social Good']",https://dsh-hacks-v1.devpost.com/,devpost
EnviroCast Global Engineering Outlook: From Insight to Impact Hackathon,,"['Open Ended', 'Productivity', 'Social Good']",open,,2026-05-21,Online,online,$<span data-currency-value>625</span>,EnviroCast,"['Open Ended', 'Productivity', 'Social Good']",https://from-insight-to-impact.devpost.com/,devpost
LUMA Hackathon!,,"['Beginner Friendly', 'Machine Learning/Ai', 'Open Ended']",open,,,Online,online,$<span data-currency-value>300</span>,joinluma,"['Beginner Friendly', 'Machine Learning/Ai', 'Open Ended']",https://luma.devpost.com/,devpost
EcoHack,,"['Beginner Friendly', 'Open Ended', 'Social Good']",open,,2026-04-23,Online,online,$<span data-currency-value>0</span>,EcoHack,"['Beginner Friendly', 'Open Ended', 'Social Good']",https://ecohack-28337.devpost.com/,devpost
GenLink Hacks,,"['Beginner Friendly', 'Machine Learning/Ai', 'Social Good']",open,,,Online,online,"$<span data-currency-value>42,402</span>",GenLink,"['Beginner Friendly', 'Machine Learning/Ai', 'Social Good']",https://genlink-hacks.devpost.com/,devpost
EcoHacks,,"['Beginner Friendly', 'Open Ended', 'Social Good']",open,,2026-04-19,Online,online,$<span data-currency-value>200</span>,Green Spaces Initiative,"['Beginner Friendly', 'Open Ended', 'Social Good']",https://ecohackers.devpost.com/,devpost
UCI Design-a-thon 2026,,"['Beginner Friendly', 'Design', 'Low/No Code']",open,,2026-04-26,Online,online,"$<span data-currency-value>5,048</span>",UC Irvine,"['Beginner Friendly', 'Design', 'Low/No Code']",https://ucidesignathon26.devpost.com/,devpost
PhysTech 2026: Physical Activity and Technology Hack Day,,"['Education', 'Health', 'Iot']",open,,2026-06-27,Online,online,$<span data-currency-value>0</span>,Binnovative,"['Education', 'Health', 'Iot']",https://phystech-2026.devpost.com/,devpost
Aurora Global Hackathon,,"['Beginner Friendly', 'Low/No Code', 'Social Good']",open,,,Online,online,$<span data-currency-value>0</span>,Project GRID ,"['Beginner Friendly', 'Low/No Code', 'Social Good']",https://aurora-global-hackathon-grid.devpost.com/,devpost
Nira hackathon,,"['Design', 'Education', 'Machine Learning/Ai']",open,,2026-05-02,Online,online,$<span data-currency-value>500</span>,nira ai tech,"['Design', 'Education', 'Machine Learning/Ai']",https://nira-hackathon.devpost.com/,devpost
DesignXR Hackathon,,"['Ar/Vr', 'Education', 'Productivity']",open,,2026-05-10,Online,online,$<span data-currency-value>0</span>,iTSikhwal,"['Ar/Vr', 'Education', 'Productivity']",https://designxr.devpost.com/,devpost
hatrek,,"['Machine Learning/Ai', 'Open Ended', 'Web']",open,,2026-04-17,Online,online,$<span data-currency-value>0</span>,automata,"['Machine Learning/Ai', 'Open Ended', 'Web']",https://hatrek.devpost.com/,devpost
BluePrint 2026 - Hackthon for freshers and Students,,"['Low/No Code', 'Productivity', 'Web']",open,,2026-05-14,Online,online,"₹ <span data-currency-value>18,000</span>",BluePms Software Solutions PVT,"['Low/No Code', 'Productivity', 'Web']",https://blueprint-2026.devpost.com/,devpost
HackNSU Season 6,,"['Devops', 'Machine Learning/Ai', 'Web']",open,,,Online,online,$<span data-currency-value>406</span>,no host,"['Devops', 'Machine Learning/Ai', 'Web']",https://hacknsu-s6.devpost.com/,devpost
2025-2026 Spring ESE Senior Design,,"['Ar/Vr', 'Open Ended', 'Robotic Process Automation']",open,,2026-04-30,Online,online,$<span data-currency-value>0</span>,university of pennsylvania,"['Ar/Vr', 'Open Ended', 'Robotic Process Automation']",https://ese4510s26.devpost.com/,devpost
